pos	class	id	byte
296	prompt	364	1384
297	prompt	264	1388
298	prompt	3274	1390
299	prompt	13	1395
300	prompt	5019	1396
301	prompt	2923	1404
302	prompt	13909	1409
303	prompt	28253	1412
304	prompt	6440	1417
305	prompt	11	1423
306	prompt	34337	1424
307	prompt	8751	1435
308	prompt	3425	1444
309	prompt	11	1450
310	prompt	321	1451
311	prompt	30119	1455
312	prompt	41052	1465
313	prompt	6355	1479
314	prompt	61782	1485
315	prompt	13	1490
316	prompt	318	1491
317	prompt	16095	1493
318	prompt	25	1498
319	prompt	1942	1499
320	prompt	7141	1503
321	prompt	3525	1509
322	prompt	20086	1516
323	prompt	11	1522
324	prompt	18422	1523
325	prompt	19860	1528
326	prompt	3513	1532
327	prompt	11	1536
328	prompt	8081	1537
329	prompt	11	1542
330	prompt	9357	1543
331	prompt	11	1549
332	prompt	66333	1550
333	prompt	3900	1559
334	prompt	10383	1563
335	prompt	77	1565
336	prompt	12	1566
337	prompt	2552	1567
338	prompt	1021	1574
339	prompt	75422	1578
340	prompt	25	1584
341	prompt	5272	1585
342	prompt	411	1589
343	prompt	8057	1594
344	prompt	310	1600
345	prompt	13998	1603
346	prompt	279	1613
347	prompt	1156	1617
348	prompt	579	1622
349	prompt	71802	1624
350	prompt	5927	1631
351	prompt	2552	1636
352	prompt	1500	1643
353	prompt	6047	1648
354	prompt	13	1656
355	prompt	318	1657
356	prompt	16095	1659
357	prompt	25	1664
358	prompt	4310	1665
359	prompt	11	1670
360	prompt	8081	1671
361	prompt	10383	1676
362	prompt	77	1678
363	prompt	1639	1679
364	prompt	4350	1681
365	prompt	1608	1685
366	prompt	279	1691
367	prompt	20086	1695
368	prompt	5224	1701
369	prompt	11	1706
370	prompt	13441	1707
371	prompt	264	1715
372	prompt	1146	1717
373	prompt	7838	1721
374	prompt	1756	1726
375	prompt	5555	1731
376	prompt	310	1741
377	prompt	3186	1744
378	prompt	864	1751
379	prompt	8057	1757
380	prompt	913	1763
381	prompt	310	1768
382	prompt	958	1771
383	prompt	13	1775
384	prompt	1368	1776
385	prompt	38136	1779
386	prompt	11	1787
387	prompt	279	1788
388	prompt	4437	1792
389	prompt	56279	1800
390	prompt	8057	1808
391	prompt	369	1814
392	prompt	1429	1817
393	prompt	6889	1822
394	prompt	77	1824
395	prompt	1639	1825
396	prompt	550	1827
397	prompt	3095	1829
398	prompt	310	1834
399	prompt	958	1837
400	prompt	1639	1841
401	prompt	1639	1843
402	prompt	46756	1845
403	prompt	364	1850
404	prompt	411	1854
405	prompt	948	1859
406	prompt	279	1864
407	prompt	3274	1868
408	prompt	8798	1873
409	prompt	449	1881
410	prompt	2420	1884
411	prompt	8057	1894
412	prompt	913	1900
413	prompt	11	1905
414	prompt	948	1906
415	prompt	488	1911
416	prompt	599	1915
417	prompt	9209	1920
418	prompt	944	1932
419	prompt	310	1937
420	prompt	1542	1940
421	prompt	303	1944
422	prompt	14835	1947
423	prompt	11	1956
424	prompt	466	1957
425	prompt	948	1960
426	prompt	34579	1965
427	prompt	1000	1975
428	prompt	2977	1981
429	prompt	5122	1986
430	prompt	3808	1994
431	prompt	3679	2001
432	prompt	3425	2009
433	prompt	1892	2015
434	prompt	12993	2019
435	prompt	424	2028
436	prompt	321	2031
437	prompt	488	2035
438	prompt	2426	2039
439	prompt	279	2044
440	prompt	16198	2048
441	prompt	11	2059
442	prompt	524	2060
443	prompt	279	2064
444	prompt	999	2068
445	prompt	58345	2073
446	prompt	13	2079
447	prompt	1690	2080
448	prompt	264	2084
449	prompt	3074	2086
450	prompt	2149	2093
451	prompt	519	2095
452	prompt	18054	2098
453	prompt	1332	2105
454	prompt	488	2111
455	prompt	2582	2115
456	prompt	1366	2123
457	prompt	279	2128
458	prompt	999	2132
459	prompt	11	2137
460	prompt	7489	2138
461	prompt	11	2145
462	prompt	466	2146
463	prompt	869	2149
464	prompt	11	2155
465	prompt	2624	2156
466	prompt	5774	2163
467	prompt	13	2172
468	prompt	9358	2173
469	prompt	488	2178
470	prompt	2908	2182
471	prompt	87539	2185
472	prompt	264	2195
473	prompt	2624	2197
474	prompt	11	2204
475	prompt	1459	2205
476	prompt	914	2209
477	prompt	1048	2211
478	prompt	1542	2216
479	prompt	424	2220
480	prompt	5941	2223
481	prompt	1892	2232
482	prompt	3655	2236
483	prompt	364	2241
484	prompt	279	2245
485	prompt	1067	2249
486	prompt	6889	2256
487	prompt	77	2258
488	prompt	1639	2259
489	prompt	12	2261
490	prompt	561	2262
491	prompt	8057	2266
492	prompt	579	2272
493	prompt	1534	2274
494	prompt	1876	2280
495	prompt	369	2288
496	prompt	5743	2291
497	prompt	310	2300
498	prompt	488	2303
499	prompt	430	2307
500	prompt	279	2310
501	prompt	5224	2314
502	prompt	1067	2319
503	prompt	26	2326
504	prompt	424	2327
505	prompt	369	2330
506	prompt	524	2333
507	prompt	6625	2337
508	prompt	310	2343
509	prompt	279	2346
510	prompt	1156	2350
511	prompt	1892	2355
512	prompt	30805	2359
513	prompt	1092	2365
514	prompt	12482	2370
